varos	osszeg_millio	palyzatok_szama
Sopronnémeti	23,4	3
Sorkifalud	6,4	1
Sorkikápolna	11,8	1
Sormás	1058,9	26
Sorokpolány	10,9	2
Sóshartyán	207,6	6
Sóskút	3609,6	49
Sóstófalva	477,9	5
Sósvertike	30	1
Söjtör	155,5	20
Söpte	12	2
Söréd	5,2	2
Sukoró	166,5	8
Súr	72,3	4
Surd	195,3	7
Sükösd	465,1	24
Sülysáp	2917,2	24
Sümeg	7880,6	133
Sümegcsehi	45	4
Sümegprága	2,6	3
Süttő	615,6	10
Szabadbattyán	912,1	23
Szabadegyháza	1801	20
Szabadhídvég	318,4	5
Szabadkígyós	918	24
Szabadszállás	3728	58
Szabadszentkirály	347,8	16
Szabolcs	362,8	10
Szabolcsbáka	84	7
Szabolcsveresmart	1595,5	9
Szada	1907,2	41
Szajk	178,8	9
Szajla	48,6	4
Szajol	733,8	19
Szakácsi	1338,9	2
Szakadát	413,4	5
Szakáld	210,9	8
Szakály	440,7	18
Szakcs	43,9	5
Szakmár	314	16
Szaknyér	47,1	1
Szakoly	1891,2	40
Szakony	13,2	2
Szalafő	251,8	11
Szalánta	632,1	18
Szalapa	187,1	2
Szalaszend	512,8	12
Szalatnak	1,8	3
Szálka	390,9	6
Szalkszentmárton	543,8	17
Szalmatercs	396,5	1
Szalonna	528,7	23
Szamosangyalos	153	3
Szamosbecs	8,1	1
Szamoskér	546,9	3
Szamossályi	29,7	1
Szamostatárfalva	96,7	3
Szamosújlak	40	2
Szamosszeg	1084,6	13
Szanda	66,3	6
Szank	2753,4	30
Szántód	218,9	6
Szany	403,9	16
Szápár	122,2	1
Szaporca	1038,4	3
Szár	368,9	9
Szárazd	310,2	2
Szárföld	54,6	3
Szárliget	58,7	4
Szarvas	19729,2	338
Szarvasgede	1012	5
Szarvaskend	119,6	7
Szarvaskő	59,5	1
Szászberek	324,2	2
Szászvár	1398,3	43
Szatmárcseke	362,1	13
Szátok	44,8	3
Szatta	5,4	1
Szatymaz	3399,3	46
Szava	276,2	5
Százhalombatta	4028,5	88
Szécsénke	7,1	1
Szécsény	6791,3	99
Szécsényfelfalu	274,4	4
Szederkény	824,8	15
Szedres	633	12
Szeged	386979,2	4006
Szeghalom	3943,8	121
Szegi	91,5	7
Szegilong	30,7	5
Szegvár	2251,5	20
Székely	2021	6
Székelyszabar	59,5	3
Székesfehérvár	115660,3	1942
Székkutas	1755,9	14
Szekszárd	44658,7	960
Szeleste	4955,7	10
Szelevény	5129,2	11
Szellő	30,2	1
Szemenye	159,2	6
Szemere	112,1	3
Szendehely	553,4	12
Szendrő	3427,2	83
Szendrőlád	1597,4	27
Szenna	1053	21
Szenta	23	7
Szentantalfa	176,7	7
Szentbalázs	527,2	8
Szentbékkálla	274,9	2
Szentborbás	34,7	1
Szentdénes	72,1	4
Szentdomonkos	23,2	1
Szente	69,5	7
Szentendre	20288,7	264
Szentes	19282,3	300
Szentgál	92,8	12
Szentgáloskér	28,6	2
Szentgotthárd	3785	100
Szentgyörgyvölgy	53,7	3
Szentistván	505,3	9
Szentistvánbaksa	547,1	5
Szentjakabfa	58,4	1
Szentkirály	2264,8	29
Szentkirályszabadja	175,7	10
Szentkozmadombja	10,7	2
Szentlászló	9,7	1
Szentliszló	8,1	1
Szentlőrinc	4146,7	75
Szentlőrinckáta	388,1	8
Szentmargitfalva	56,9	3
Szentmártonkáta	325,6	15
Szentpéterfa	42,5	2
Szentpéterszeg	466,6	24
Szentpéterúr	125,1	8
Szenyér	65,1	2
Szepetnek	478	7
Szeremle	157,8	10
Szerencs	17262,2	186
Szerep	111	7
Szergény	18	2
Szigetbecse	501,6	11
Szigetcsép	518,9	16
Szigethalom	1473,7	42
Szigetmonostor	378,5	8
Szigetszentmárton	343,5	12
Szigetszentmiklós	19564,1	212
Szigetújfalu	326,8	12
Szigetvár	11716,1	243
Szigliget	519,9	3
Szihalom	1606,7	19
Szijártóháza	2	1
Szikszó	12496,6	120
Szil	475,6	17
Szilágy	10	1
Szilaspogony	18,5	3
Szilsárkány	21,9	1
Szilvágy	3	3
Szilvásvárad	1939,3	25
Szilvásszentmárton	48,8	1
Szin	422,6	8
Szinpetri	21	1
Szirák	2327,2	15
Szirmabesenyő	983,5	23
Szob	1755,7	16
Szokolya	259,6	5
Szólád	52,2	8
Szolnok	91855,8	1197
Szombathely	79534,1	1453
Szomód	1526,8	12
Szomolya	452,7	12
Szomor	30,2	4
Szorgalmatos	148,5	7
Szorosad	0,9	1
Szőc	30	1
Sződ	1207,2	25
Sződliget	728,6	19
Szögliget	177	12
Szőke	1,2	1
Szőlősardó	15,2	2
Szőlősgyörök	87,5	5
Szörény	123,3	3
Szúcs	9,7	1
Szuha	145,6	4
Szuhafő	98,4	5
Szuhakálló	156	5
Szuhogy	130,2	6
Szulok	335,9	5
Szurdokpüspöki	303,2	13
Szűcsi	624,5	14
Szügy	2459,7	21
Szűr	70,2	1
Tab	4614,8	56
Tabajd	59	7
Tabdi	1057,8	17
Táborfalva	911,5	26
Tác	864,1	15
Tahitótfalu	1743,4	15
Takácsi	194,5	8
Tákos	6,8	1
Taksony	8449,7	30
Taktabáj	132	9
Taktaharkány	2149,6	9
Taktakenéz	228,3	4
Taktaszada	443,8	14
Taliándörögd	6	2
Tállya	1339,5	21
Tamási	9812,3	156
Tanakajd	29,5	5
Táp	130,2	7
Tápióbicske	158,1	5
Tápiógyörgye	162,5	30
Tápióság	20,7	3
Tápiószecső	571,8	21
Tápiószele	1485,5	34
Tápiószentmárton	1832,7	12
Tápiószőlős	1599,3	31
Táplánszentkereszt	617,6	15
Tapolca	6917,9	142
Tapsony	53,4	2
Tápszentmiklós	56,9	4
Tar	211,5	5
Tarany	224,2	6
Tarcal	2704,2	45
Tard	205,8	11
Tardona	283	9
Tardos	78,3	8
Tarhos	319,9	8
Tarján	139,4	12
Tárkány	2105,1	11
Tarnabod	930,1	14
Tarnalelesz	1018	21
Tarnaméra	199,7	9
Tarnaörs	922,2	12
Tarnaszentmária	893,7	2
Tarnaszentmiklós	644	5
Tarnazsadány	236,6	8
Tárnok	1381,9	17
Tárnokréti	17,5	1
Tarpa	1025,3	17
Tass	30503	19
Taszár	528,7	10
Tát	3793,3	49
Tata	18724,4	381
Tatabánya	71384,8	719
Tataháza	82,8	5
Tatárszentgyörgy	456,4	8
Tázlár	152,4	8
Téglás	1842,1	46
Tekenye	6,9	1
Teklafalu	109,4	6
Telekes	30,7	5
Telekgerendás	540,7	14
Teleki	1311	4
Telki	1564,4	26
Telkibánya	527,6	17
Tengelic	1787,5	7
Tengőd	112	4
Tenk	685,9	18
Tényő	118,2	7
Tépe	376,5	11
Terem	546,4	9
Terény	190	9
Tereske	113,4	7
Teresztenye	15,2	3
Terpes	229	12
Tés	23,4	2
Téseny	45,5	1
Teskánd	247,3	19
Tét	2207,2	39
Tetétlen	135,9	6
Tevel	317,6	13
Tibolddaróc	159,7	11
Tiborszállás	265,5	6
Tihany	2712,5	44
Timár	630,6	29
Tinnye	709,2	7
Tiszaadony	327,2	6
Tiszaalpár	3826,6	52
Tiszabábolna	565	7
Tiszabecs	471,2	10
Tiszabercel	6483,1	10
Tiszabezdéd	402,3	12
Tiszabő	81,4	4
Tiszabura	2486	13
Tiszacsécse	16	3
Tiszacsege	1379,6	31
Tiszacsermely	64,6	4
Tiszadada	3388,5	18
Tiszaderzs	335,8	6
Tiszadob	5978,6	37
Tiszadorogma	634,9	7
Tiszaeszlár	642,3	10
Tiszaföldvár	2973,9	84
Tiszafüred	11443,5	153
Tiszagyenda	91,5	3
Tiszagyulaháza	375,7	3
Tiszaigar	23,4	2
Tiszajenő	1199,2	9
Tiszakanyár	372,7	13
Tiszakarád	445,3	11
Tiszakécske	7455,7	97
Tiszakerecseny	301,7	10
Tiszakeszi	398,1	14
Tiszakóród	70,3	3
Tiszakürt	382,6	11
Tiszaladány	112,8	6
Tiszalök	2704,2	63
Tiszalúc	2630,5	29
Tiszamogyorós	98	4
Tiszanagyfalu	139,8	12
Tiszanána	2203,7	34
Tiszaörs	452	9
Tiszapalkonya	10,8	1
Tiszapüspöki	1346,4	12
Tiszaroff	454,9	9
Tiszasas	167,4	11
Tiszasüly	24841,7	3
Tiszaszalka	208	6
Tiszaszentimre	1875,7	11
Tiszaszentmárton	899,6	7
Tiszasziget	741,9	19
Tiszaszőlős	357,2	10
Tiszatardos	67,2	6
Tiszatarján	949,3	24
Tiszatelek	84,4	2
Tiszatenyő	2062	7
Tiszaug	132,7	4
Tiszaújváros	6659,8	204
Tiszavalk	20	2
Tiszavárkony	322,2	8
Tiszavasvári	5927,7	129
Tisztaberek	141,4	3
Tivadar	830	6
Tóalmás	337,5	8
Tófalu	25,5	2
Tófej	84,3	4
Tokaj	15353,7	131
Tokod	1109,4	23
Tokodaltáró	813,2	22
Tolcsva	1365,7	21
Told	67,1	3
Tolmács	864,6	12
Tolna	7035,9	146
Tolnanémedi	80	1
Tomajmonostora	1072,6	12
Tomor	364,2	10
Tompa	2579,7	39
Tordas	1705,7	14
Tormafölde	58	3
Tormás	271,7	4
Tormásliget	117,7	5
Tornabarakony	15,3	2
Tornanádaska	42,3	2
Tornaszentandrás	6,1	5
Tornaszentjakab	61,7	2
Tornyosnémeti	340	8
Tornyospálca	709,8	17
Torony	291,6	9
Torvaj	135,1	2
Tószeg	389,5	19
Tótkomlós	5383	57
Tótszentmárton	50,2	4
Tótszerdahely	225,7	7
Tótvázsony	824,1	20
Tök	1054,4	8
Tököl	6233,5	50
Töltéstava	671,4	25
Tömörd	18,5	3
Tömörkény	117,8	4
Törökbálint	2905,5	126
Törökkoppány	596	12
Törökszentmiklós	15671,4	179
Törtel	219,4	4
Töttös	69,1	6
Trizs	26	3
Tunyogmatolcs	2293,1	12
Tura	1381,6	36
Túristvándi	525,3	15
Túrkeve	3801,1	94
Túrony	154,3	4
Túrricse	505,1	6
Tuzsér	2209,4	21
Türje	2260,8	24
Tüskevár	126,2	5
Tyukod	366,9	5
Ugod	310,6	5
Újcsanálos	68,4	3
Újdombrád	75,3	5
Újfehértó	13393,8	112
Újhartyán	2361,4	29
Újiráz	561,2	5
Újkenéz	89	6
Újkér	16,9	1
Újkígyós	2464,6	73
Újlengyel	415,1	15
Újléta	1397,9	19
Újlőrincfalva	121,9	5
Újpetre	34,4	3
Újrónafő	4	1
Újszalonta	27,8	1
Újszász	2935,7	49
Újszentiván	1072,4	33
Újszentmargita	1346,2	28
Újszilvás	3018,3	33
Újtelek	19,3	5
Újtikos	118,1	5
Újudvar	28,4	1
Újvárfalva	21,1	2
Ukk	87,5	4
Uppony	68,3	5
Ura	969,6	4
Uraiújfalu	615	9
Úrhida	202,5	10
Úri	1486,8	11
Úrkút	992,1	12
Uszka	234	5
Uszód	2024,7	6
Uzsa	15,2	1
Üllés	943,3	38
Üllő	2254,2	50
Üröm	1068,6	30
Vác	11218,5	168
Vácduka	115,1	1
Vácegres	21,9	1
Váchartyán	349,2	10
Váckisújfalu	69,2	2
Vácrátót	2116	15
Vácszentlászló	3148,5	2
Vadna	396,9	15
Vág	5	1
Vágáshuta	9,2	1
Vaja	1299,2	20
Vajdácska	207,9	7
Vajszló	2736,1	34
Vajta	10	1
Vál	605,9	16
Valkó	241,4	5
Valkonya	72,6	2
Vállaj	137,7	6
Vállus	164,4	4
Vámosatya	4,7	1
Vámoscsalád	1209,7	4
Vámosgyörk	307,4	5
Vámosmikola	1374,9	3
Vámosoroszi	34,1	3
Vámospércs	6289,2	63
Vámosújfalu	96,6	4
Vámosszabadi	235,1	18
Váncsod	220	12
Vanyarc	174,1	13
Vanyola	4,7	2
Váralja	71,6	4
Váraszó	98,8	5
Várbalog	7,6	1
Varbó	803,6	12
Varbóc	27,1	8
Várda	4,7	1
Várdomb	183,4	5
Várgesztes	196,2	4
Várkesző	7,3	3
Várong	40,7	1
Városföld	1181,4	11
Városlőd	328,7	12
Várpalota	5813,3	152
Varsád	419,3	7
Varsány	192,8	3
Várvölgy	5,8	3
Vasad	260,1	5
Vasalja	150	1
Vásárosbéc	19,9	2
Vásárosdombó	364,9	14
Vásárosmiske	24,8	2
Vásárosnamény	7504,8	170
Vasasszonyfa	1,9	1
Vasboldogasszony	1,4	1
Vasegerszeg	30	3
Vashosszúfalu	1361,7	2
Vaskeresztes	308,5	3
Vaskút	735,8	23
Vasmegyer	95,9	4
Vaspör	615,1	4
Vassurány	11	1
Vasvár	5118,3	104
Vaszar	36,6	8
Vászoly	6	2
Vasszécseny	210,7	10
Vasszilvágy	13,8	1
Vát	61,5	2
Vatta	15	3
Vázsnok	25,7	1
Vécs	47	6
Vecsés	7893,8	128
Végegyháza	383	15
Vejti	2,4	1
Vékény	1	3
Vekerd	243,9	2
Velem	34,3	6
Velence	3608,5	57
Véménd	362,8	15
Vép	2285,5	39
Vereb	296,7	3
Veresegyház	9418,2	89
Verőce	475	8
Verpelét	2981,6	35
Verseg	1608,3	6
Versend	165,1	4
Vértesacsa	170,4	13
Vértesboglár	96,7	5
Vértessomló	571,6	8
Vértestolna	75,7	4
Vértesszőlős	1067,4	32
Vése	7073	13
Veszkény	886,4	14
Veszprém	95792,4	1429
Veszprémfajsz	7,3	2
Veszprémvarsány	159,8	8
Vésztő	5558,5	92
Vezseny	384,7	2
Vigántpetend	19,9	1
Villány	7437,2	69
Vilmány	856	14
Vilonya	1365	7
Vilyvitány	194,4	11
Vindornyaszőlős	697,1	5
Visegrád	2947,4	23
Visonta	1006,6	46
Viss	308,4	4
Visz	17,3	3
Visznek	52,9	1
Vitnyéd	18,8	2
Vízvár	115,4	7
Vizslás	86,6	3
Vizsoly	876	18
Vokány	79,2	4
Vonyarcvashegy	872,3	30
Vöckönd	1	1
Vörs	11,3	1
Zabar	12	2
Zádor	17	1
Zádorfalva	20,2	2
Zagyvarékas	1340,4	24
Zagyvaszántó	135,9	8
Záhony	39383,6	42
Zajta	76,6	2
Zákány	549,3	16
Zákányszék	349,7	13
Zala	41,7	1
Zalaapáti	1056,4	19
Zalabaksa	199	10
Zalabér	1402,7	9
Zalaboldogfa	40,3	3
Zalacsány	190,9	5
Zalacséb	18,9	3
Zalaegerszeg	53331,9	1153
Zalaerdőd	562	5
Zalagyömörő	20	2
Zalahaláp	358,1	7
Zalaháshágy	49,1	6
Zalaistvánd	30,5	5
Zalakaros	4022,4	68
Zalakomár	389,1	16
Zalalövő	1417,4	55
Zalamerenye	3,6	1
Zalaszabar	111,7	3
Zalaszántó	17	1
Zalaszentbalázs	206,3	2
Zalaszentgrót	3843,2	108
Zalaszentgyörgy	37,8	12
Zalaszentiván	6463,4	17
Zalaszentlászló	200,4	12
Zalaszentlőrinc	0,9	2
Zalaszentmárton	127,8	1
Zalaszentmihály	107,9	5
Zaláta	69,3	2
Zalatárnok	84,7	6
Zalaújlak	147,3	3
Zalavár	1138	9
Zalavég	194,5	4
Zalkod	21,6	2
Zamárdi	1886,5	56
Zámoly	196,8	10
Zánka	5702,3	20
Zaránk	3,4	1
Závod	17,1	7
Zebegény	84,8	4
Zemplénagárd	17,1	1
Zichyújfalu	206,4	9
Zics	36,7	5
Ziliz	7,2	1
Zimány	184,8	4
Zirc	6105,6	100
Zomba	1758,7	17
Zubogy	7,2	1
Zsadány	545,7	14
Zsáka	379,1	15
Zsámbék	1633,4	41
Zsámbok	1062,2	7
Zsana	505,2	3
Zsarolyán	132,1	2
Zsebeháza	6,2	1
Zsédeny	7	1
Zselickisfalud	155,7	4
Zselickislak	5,2	2
Zselicszentpál	16,6	5
Zsira	353,3	7
Zsombó	2424	48
Zsujta	37,5	1
Zsurk	106,9	1
